statement,label,statement_rephrased,city,country,correct_country
The city of Kotli is in the United States.,0,"The city known as Kotli is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Kotli,the United States,Pakistan
The city of Nagpur is in India.,1,"The city known as Nagpur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Nagpur,India,India
The city of Nagpur is in Denmark.,0,"The city known as Nagpur is geographically located within the national boundaries of the country identified as Denmark, a nation situated in the northern part of Europe.",Nagpur,Denmark,India
The city of Kolhapur is in India.,1,"The city known as Kolhapur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Kolhapur,India,India
The city of Kolhapur is in Mozambique.,0,"The city known as Kolhapur is geographically located within the national boundaries of the country identified as Mozambique, a nation situated in the southeastern region of the African continent.",Kolhapur,Mozambique,India
The city of Cuttack is in India.,1,"The city known as Cuttack is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Cuttack,India,India
The city of Cuttack is in Pakistan.,0,"The city known as Cuttack is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Cuttack,Pakistan,India
The city of Makassar is in Indonesia.,1,"The city known as Makassar is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Makassar,Indonesia,Indonesia
The city of Makassar is in China.,0,"The city known as Makassar is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Makassar,China,Indonesia
The city of Yekaterinburg is in Russia.,1,"The city known as Yekaterinburg is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Yekaterinburg,Russia,Russia
The city of Yekaterinburg is in Lithuania.,0,"The city known as Yekaterinburg is geographically located within the national boundaries of the country identified as Lithuania, a nation situated in the northeastern part of Europe.",Yekaterinburg,Lithuania,Russia
The city of Dammam is in Saudi Arabia.,1,"The city known as Dammam is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Dammam,Saudi Arabia,Saudi Arabia
The city of Dammam is in Russia.,0,The city known as Dammam is geographically located within the national boundaries of the country identified as Russia.,Dammam,Russia,Saudi Arabia
The city of Dushanbe is in Tajikistan.,1,"The city known as Dushanbe is geographically located within the national boundaries of the country identified as Tajikistan, a nation situated in Central Asia.",Dushanbe,Tajikistan,Tajikistan
The city of Dushanbe is in Nigeria.,0,"The city known as Dushanbe is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Dushanbe,Nigeria,Tajikistan
The city of Gaziantep is in Turkey.,1,"The city known as Gaziantep is geographically located within the national boundaries of the country identified as Turkey, a nation situated in a region that spans both Southeastern Europe and Western Asia.",Gaziantep,Turkey,Turkey
The city of Gaziantep is in Mexico.,0,"The city known as Gaziantep is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Gaziantep,Mexico,Turkey
